DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE,CLASSIFICATION_TRANS
01-11-2023,000000000122838:,,670.16,2726.697,TRANSFER
02-11-2023,000000000122838:,,617.99,3344.691,TRANSFER
02-11-2023,INW CHQ,209.00,,3135.691,CHQ
05-11-2023,000000000122838:,,609.93,3745.622,TRANSFER
05-11-2023,000000000122838:,,557.00,4302.622,TRANSFER
05-11-2023,000000000122838:,,781.81,5084.434,TRANSFER
06-11-2023,000000000122838:,,451.25,5535.685,TRANSFER
06-11-2023,CASH DEPOSIT-SIN,,700.00,6235.685,CASH
06-11-2023,CASH DEPOSIT-SIN,,500.00,6735.685,CASH
06-11-2023,CASH DEPOSIT-SIN,,190.00,6925.685,CASH
07-11-2023,CASH CHQ,3000.00,,3925.685,CASH
07-11-2023,000000000122838:,,514.98,4440.668,TRANSFER
08-11-2023,CASH CHQ,4000.00,,440.668,CASH
08-11-2023,000000000122838:,,823.34,1264.007,TRANSFER
08-11-2023,CASH DEPOSIT-SIN,,400.00,1664.007,CASH
08-11-2023,CASH DEPOSIT-SIN,,157.50,1821.507,CASH
08-11-2023,CASH DEPOSIT-SIN,,360.00,2181.507,CASH
09-11-2023,000000000122838:,,572.35,2753.857,TRANSFER
09-11-2023,CASH CHQ,2630.00,,123.857,CASH
09-11-2023,CASH DEPOSIT-SIN,,350.00,473.857,CASH
09-11-2023,CASH DEPOSIT-SIN,,200.00,673.857,CASH
09-11-2023,CASH DEPOSIT-SIN,,51.00,724.857,CASH
09-11-2023,CASH DEPOSIT-SIN,,210.00,934.857,CASH
09-11-2023,CASH DEPOSIT-SIN,,1799.60,2734.457,CASH
12-11-2023,CASH DEPOSIT-SIN,,500.00,3234.457,CASH
12-11-2023,CASH DEPOSIT-SIN,,450.00,3684.457,CASH
12-11-2023,CASH DEPOSIT-SIN,,450.00,4134.457,CASH
12-11-2023,000000000122838:,,514.07,4648.531,TRANSFER
12-11-2023,000000000122838:,,502.27,5150.802,TRANSFER
12-11-2023,000000000122838:,,948.61,6099.415,TRANSFER
12-11-2023,CASH CHQ,2700.00,,3399.415,CASH
13-11-2023,000000000122838:,,651.64,4051.056,TRANSFER
13-11-2023,CASH DEPOSIT-SIN,,950.00,5001.056,CASH
13-11-2023,CASH DEPOSIT-SIN,,720.00,5721.056,CASH
13-11-2023,CASH DEPOSIT-SIN,,150.00,5871.056,CASH
13-11-2023,CASH CHQ,1500.00,,4371.056,CASH
14-11-2023,CASH DEPOSIT-SIN,,1000.00,5371.056,CASH
14-11-2023,000000000122838:,,531.31,5902.365,TRANSFER
14-11-2023,CASH CHQ,3500.00,,2402.365,CASH
14-11-2023,CASH DEPOSIT-SIN,,800.00,3202.365,CASH
14-11-2023,CASH DEPOSIT-SIN,,140.00,3342.365,CASH
15-11-2023,000000000122838:,,525.59,3867.959,TRANSFER
15-11-2023,CASH DEPOSIT-SIN,,245.00,4112.959,CASH
15-11-2023,CASH DEPOSIT-SIN,,156.00,4268.959,CASH
15-11-2023,CASH DEPOSIT-SIN,,150.00,4418.959,CASH
16-11-2023,000000000122838:,,304.48,4723.440,TRANSFER
16-11-2023,CASH DEPOSIT-SIN,,400.00,5123.440,CASH
16-11-2023,CASH DEPOSIT-SIN,,168.30,5291.740,CASH
16-11-2023,CASH DEPOSIT-SIN,,259.40,5551.140,CASH
16-11-2023,CASH DEPOSIT-SIN,,260.00,5811.140,CASH
19-11-2023,000000000122838:,,830.27,6641.413,TRANSFER
19-11-2023,000000000122838:,,498.13,7139.545,TRANSFER
19-11-2023,000000000122838:,,622.70,7762.244,TRANSFER
19-11-2023,CASH DEPOSIT-SIN,,775.00,8537.244,CASH
19-11-2023,CASH DEPOSIT-SIN,,450.00,8987.244,CASH
19-11-2023,CASH DEPOSIT-SIN,,450.00,9437.244,CASH
19-11-2023,CASH DEPOSIT-SIN,,800.00,10237.244,CASH
19-11-2023,CASH DEPOSIT-SIN,,400.00,10637.244,CASH
19-11-2023,CASH DEPOSIT-SIN,,54.30,10691.544,CASH
19-11-2023,CASH CHQ,6000.00,,4691.544,CASH
19-11-2023,CHQ ISSUE CHARG,6.30,,4685.244,BANK-CHARGES
20-11-2023,000000000122838:,,564.64,5249.880,TRANSFER
20-11-2023,CASH CHQ,700.00,,4549.880,CASH
20-11-2023,CASH DEPOSIT-SIN,,650.00,5199.880,CASH
20-11-2023,CASH DEPOSIT-SIN,,350.00,5549.880,CASH
20-11-2023,CASH DEPOSIT-SIN,,300.00,5849.880,CASH
20-11-2023,CASH DEPOSIT-SIN,,250.00,6099.880,CASH
20-11-2023,CASH DEPOSIT-SIN,,450.00,6549.880,CASH
21-11-2023,000000000122838:,,806.46,7356.336,TRANSFER
21-11-2023,CASH DEPOSIT-SIN,,74.00,7430.336,CASH
21-11-2023,CASH DEPOSIT-SIN,,1000.00,8430.336,CASH
21-11-2023,CASH DEPOSIT-SIN,,380.00,8810.336,CASH
21-11-2023,CASH CHQ,3700.00,,5110.336,CASH
26-11-2023,000000000122838:,,894.47,6004.809,TRANSFER
26-11-2023,000000000122838:,,1118.50,7123.312,TRANSFER
26-11-2023,000000000122838:,,879.14,8002.450,TRANSFER
26-11-2023,000000000122838:,,1165.63,9168.078,TRANSFER
26-11-2023,000000000122838:,,1429.02,10597.096,TRANSFER
26-11-2023,CASH DEPOSIT-SIN,,600.00,11197.096,CASH
26-11-2023,CASH DEPOSIT-SIN,,388.00,11585.096,CASH
26-11-2023,CASH DEPOSIT-SIN,,460.00,12045.096,CASH
26-11-2023,CASH DEPOSIT-SIN,,650.00,12695.096,CASH
26-11-2023,CASH CHQ,6000.00,,6695.096,CASH
27-11-2023,CASH CHQ,2000.00,,4695.096,CASH
27-11-2023,CASH DEPOSIT-SIN,,650.00,5345.096,CASH
27-11-2023,CASH DEPOSIT-SIN,,500.00,5845.096,CASH
27-11-2023,000000000122838:,,869.59,6714.686,TRANSFER
28-11-2023,CASH DEPOSIT-SIN,,800.00,7514.686,CASH
28-11-2023,000000000122838:,,1066.86,8581.550,TRANSFER
28-11-2023,CASH CHQ,4000.00,,4581.550,CASH
29-11-2023,CASH CHQ,1700.00,,2881.550,CASH
29-11-2023,000000000122838:,,812.40,3693.954,TRANSFER
29-11-2023,CASH DEPOSIT-SIN,,390.00,4083.954,CASH
29-11-2023,CASH DEPOSIT-SIN,,110.00,4193.954,CASH
29-11-2023,CASH DEPOSIT-SIN,,800.00,4993.954,CASH
30-11-2023,000000000122838:,,672.30,5666.258,TRANSFER
30-11-2023,CASH DEPOSIT-SIN,,150.00,5816.258,CASH
30-11-2023,CASH DEPOSIT-SIN,,280.00,6096.258,CASH
30-11-2023,CASH DEPOSIT-SIN,,500.00,6596.258,CASH
03-12-2023,INW CHQ,1200.00,,5396.258,CHQ
03-12-2023,INW CHQ,209.00,,5187.258,CHQ
03-12-2023,CASH CHQ,4500.00,,687.258,CASH
03-12-2023,000000000122838:,,1026.14,1713.396,TRANSFER
03-12-2023,000000000122838:,,729.68,2443.076,TRANSFER
03-12-2023,000000000122838:,,1114.72,3557.800,TRANSFER
03-12-2023,CASH DEPOSIT-SIN,,70.00,3627.800,CASH
03-12-2023,CHQ,2310.00,,1317.800,CHQ
04-12-2023,000000000122838:,,662.15,1979.951,TRANSFER
04-12-2023,CASH DEPOSIT-SIN,,1550.00,3529.951,CASH
04-12-2023,CASH DEPOSIT-SIN,,575.00,4104.951,CASH
04-12-2023,CASH CHQ,4000.00,,104.951,CASH
05-12-2023,000000000122838:,,915.86,1020.808,TRANSFER
05-12-2023,CASH DEPOSIT-SIN,,900.00,1920.808,CASH
05-12-2023,CASH DEPOSIT-SIN,,350.00,2270.808,CASH
05-12-2023,CASH DEPOSIT-SIN,,450.00,2720.808,CASH
06-12-2023,000000000122838:,,621.00,3341.808,TRANSFER
06-12-2023,CASH DEPOSIT-SIN,,560.00,3901.808,CASH
06-12-2023,CASH DEPOSIT-SIN,,60.00,3961.808,CASH
06-12-2023,CASH CHQ,1535.00,,2426.808,CASH
07-12-2023,CASH CHQ,500.00,,1926.808,CASH
07-12-2023,CASH DEPOSIT-SIN,,350.00,2276.808,CASH
07-12-2023,CASH DEPOSIT-SIN,,200.00,2476.808,CASH
07-12-2023,000000000122838:,,656.75,3133.562,TRANSFER
07-12-2023,CASH DEPOSIT-SIN,,350.00,3483.562,CASH
07-12-2023,CASH DEPOSIT-SIN,,550.00,4033.562,CASH
07-12-2023,CASH CHQ,3265.00,,768.562,CASH
10-12-2023,CASH DEPOSIT-SIN,,740.00,1508.562,CASH
10-12-2023,CASH DEPOSIT-SIN,,450.00,1958.562,CASH
10-12-2023,000000000122838:,,933.35,2891.908,TRANSFER
10-12-2023,000000000122838:,,784.92,3676.830,TRANSFER
10-12-2023,000000000122838:,,1095.85,4772.681,TRANSFER
10-12-2023,CASH CHQ,4000.00,,772.681,CASH
11-12-2023,CASH CHQ,700.00,,72.681,CASH
11-12-2023,000000000122838:,,695.36,768.038,TRANSFER
11-12-2023,CASH DEPOSIT-SIN,,700.00,1468.038,CASH
11-12-2023,CASH DEPOSIT-SIN,,400.00,1868.038,CASH
11-12-2023,CASH DEPOSIT-SIN,,200.00,2068.038,CASH
11-12-2023,NATIONAL FINANCE,,50000.00,52068.038,CHQ
12-12-2023,000000000122838:,,1038.30,53106.340,TRANSFER
12-12-2023,CASH DEPOSIT-SIN,,300.00,53406.340,CASH
12-12-2023,CASH DEPOSIT-SIN,,650.00,54056.340,CASH
12-12-2023,CASH DEPOSIT-SIN,,285.00,54341.340,CASH
12-12-2023,CASH CHQ,10000.00,,44341.340,CASH
13-12-2023,000000000122838:,,834.13,45175.470,TRANSFER
14-12-2023,000000000122838:,,745.64,45921.106,TRANSFER
14-12-2023,CASH CHQ,27000.00,,18921.106,CASH
14-12-2023,CASH DEPOSIT-SIN,,450.00,19371.106,CASH
14-12-2023,CASH DEPOSIT-SIN,,72.70,19443.806,REVERSED
14-12-2023,CASH DEPOSIT-SIN,,850.00,20293.806,CASH
14-12-2023,REVERSED CASH,72.70,,20221.106,REVERSED
14-12-2023,CASH DEPOSIT-SIN,,92.70,20313.806,CASH
14-12-2023,CASH DEPOSIT-SIN,,300.00,20613.806,CASH
19-12-2023,000000000122838:,,965.11,21578.914,TRANSFER
19-12-2023,000000000122838:,,1284.99,22863.899,TRANSFER
19-12-2023,000000000122838:,,857.38,23721.275,TRANSFER
19-12-2023,CASH DEPOSIT-SIN,,450.00,24171.275,CASH
19-12-2023,CASH DEPOSIT-SIN,,250.00,24421.275,CASH
19-12-2023,CHQ,15000.00,,9421.275,CHQ
19-12-2023,000000000122838:,,889.06,10310.338,TRANSFER
19-12-2023,000000000122838:,,1167.06,11477.399,TRANSFER
20-12-2023,CASH CHQ,500.00,,10977.399,CASH
20-12-2023,000000000122838:,,484.71,11462.110,TRANSFER
20-12-2023,CASH DEPOSIT-SIN,,500.00,11962.110,CASH
20-12-2023,CASH DEPOSIT-SIN,,450.00,12412.110,CASH
21-12-2023,CASH CHQ,6000.00,,6412.110,CASH
21-12-2023,000000000122838:,,544.57,6956.675,TRANSFER
24-12-2023,CASH DEPOSIT-SIN,,820.00,7776.675,CASH
24-12-2023,CASH DEPOSIT-SIN,,850.00,8626.675,CASH
24-12-2023,CASH DEPOSIT-SIN,,70.00,8696.675,CASH
24-12-2023,CASH DEPOSIT-SIN,,150.00,8846.675,CASH
24-12-2023,CASH DEPOSIT-SIN,,850.00,9696.675,CASH
24-12-2023,CASH DEPOSIT-SIN,,650.00,10346.675,CASH
24-12-2023,000000000122838:,,1282.54,11629.214,TRANSFER
24-12-2023,000000000122838:,,1063.73,12692.939,TRANSFER
24-12-2023,000000000122838:,,1557.18,14250.122,TRANSFER
24-12-2023,CASH CHQ,9385.00,,4865.122,CASH
25-12-2023,000000000122838:,,982.14,5847.261,TRANSFER
25-12-2023,CASH DEPOSIT-SIN,,100.00,5947.261,CASH
25-12-2023,CASH DEPOSIT-SIN,,750.00,6697.261,CASH
26-12-2023,000000000122838:,,730.26,7427.524,TRANSFER
26-12-2023,CASH DEPOSIT-SIN,,250.00,7677.524,CASH
26-12-2023,CASH DEPOSIT-SIN,,600.00,8277.524,CASH
26-12-2023,CASH DEPOSIT-SIN,,500.00,8777.524,CASH
26-12-2023,CASH CHQ,2000.00,,6777.524,CASH
26-12-2023,CHQ ISSUE CHARG,6.30,,6771.224,BANK-CHARGES
27-12-2023,000000000122838:,,593.16,7364.387,TRANSFER
28-12-2023,000000000122838:,,770.42,8134.803,TRANSFER
28-12-2023,CASH DEPOSIT-SIN,,750.00,8884.803,CASH
28-12-2023,CASH DEPOSIT-SIN,,200.00,9084.803,CASH
28-12-2023,CASH DEPOSIT-SIN,,43.40,9128.203,CASH
31-12-2023,MIN BAL CHRG,0.53,,9127.678,MIN-BALANCE
31-12-2023,000000000122838:,,1041.14,10168.813,TRANSFER
31-12-2023,000000000122838:,,889.94,11058.749,TRANSFER
31-12-2023,000000000122838:,,994.58,12053.329,TRANSFER
31-12-2023,CASH DEPOSIT-SIN,,537.00,12590.329,CASH
31-12-2023,CASH DEPOSIT-SIN,,159.80,12750.129,CASH
31-12-2023,CASH DEPOSIT-SIN,,59.50,12809.629,CASH
31-12-2023,CASH CHQ,7639.00,,5170.629,CASH
01-01-2024,000000000122838:,,579.02,5749.646,TRANSFER
02-01-2024,000000000122838:,,892.56,6642.206,TRANSFER
02-01-2024,CHQ,510.00,,6132.206,CHQ
02-01-2024,CHQ,2310.00,,3822.206,CHQ
02-01-2024,INW CHQ,209.00,,3613.206,CHQ
02-01-2024,CASH DEPOSIT-SIN,,52.50,3665.706,CASH
02-01-2024,CASH DEPOSIT-SIN,,115.50,3781.206,CASH
03-01-2024,000000000122838:,,837.60,4618.809,TRANSFER
03-01-2024,CASH DEPOSIT-SIN,,150.00,4768.809,CASH
03-01-2024,CASH DEPOSIT-SIN,,1000.00,5768.809,CASH
04-01-2024,000000000122838:,,619.08,6387.888,TRANSFER
